node,cog_id,root,clade_name
ENSP00000256178,NOG256826,20,Actinopterygii
ENSP00000257770,COG0737,31,Fungi
ENSP00000258341,KOG1836,37,Metamonada
ENSP00000259206,NOG63872,20,Actinopterygii
ENSP00000259371,KOG3508,32,Amoebozoa
ENSP00000259526,NOG239425,25,Spiralia
ENSP00000259607,NOG271296,20,Actinopterygii
ENSP00000260356,NOG258312,29,Ctenophora
ENSP00000261023,KOG3637,30,Choanoflagellata
ENSP00000261590,KOG3594,30,Choanoflagellata
ENSP00000261769,KOG3594,30,Choanoflagellata
ENSP00000262120,NOG02485,24,Ecdysozoa
ENSP00000262158,KOG3701,29,Ctenophora
ENSP00000262407,KOG3637,30,Choanoflagellata
ENSP00000263253,COG5076,37,Metamonada
ENSP00000263341,NOG63872,20,Actinopterygii
ENSP00000263645,KOG3882,30,Choanoflagellata
ENSP00000263686,KOG4297,30,Choanoflagellata
ENSP00000263710,KOG2956,30,Choanoflagellata
ENSP00000263735,NOG08512,20,Actinopterygii
ENSP00000263923,KOG0200,30,Choanoflagellata
ENSP00000264094,NOG04524,26,Cnidaria
ENSP00000264246,NOG28166,17,Sauropsida
ENSP00000264431,KOG3629,32,Amoebozoa
ENSP00000264436,COG0235,36,SAR
ENSP00000264657,KOG3667,30,Choanoflagellata
ENSP00000264710,KOG0078,37,Metamonada
ENSP00000264741,KOG3637,30,Choanoflagellata
ENSP00000264832,NOG18285,20,Actinopterygii
ENSP00000264972,COG0515,37,Metamonada
ENSP00000265016,NOG21561,20,Actinopterygii
ENSP00000265165,KOG3248,29,Ctenophora
ENSP00000265371,NOG06579,23,Ambulacraria
ENSP00000265562,KOG2220,36,SAR
ENSP00000265734,KOG0594,37,Metamonada
ENSP00000267082,KOG1226,30,Choanoflagellata
ENSP00000268603,KOG3594,30,Choanoflagellata
ENSP00000268613,KOG3594,30,Choanoflagellata
ENSP00000270233,NOG259335,21,Tunicata
ENSP00000271638,NOG30694,20,Actinopterygii
ENSP00000274063,KOG3577,29,Ctenophora
ENSP00000274376,KOG3508,32,Amoebozoa
ENSP00000275815,COG0515,37,Metamonada
ENSP00000276297,KOG2200,30,Choanoflagellata
ENSP00000276440,KOG1997,34,Discoba
ENSP00000278198,COG4886,37,Metamonada
ENSP00000278572,COG0092,37,Metamonada
ENSP00000278927,NOG03235,22,Cephalochordata
ENSP00000279227,KOG3727,29,Ctenophora
ENSP00000280357,NOG244842,17,Sauropsida
ENSP00000281821,COG0515,37,Metamonada
ENSP00000282020,KOG1052,28,Porifera
ENSP00000282588,KOG3637,30,Choanoflagellata
ENSP00000283147,KOG3900,29,Ctenophora
ENSP00000283228,COG5599,37,Metamonada
ENSP00000283249,KOG1226,30,Choanoflagellata
ENSP00000283285,NOG09769,17,Sauropsida
ENSP00000283752,COG4826,28,Porifera
ENSP00000284240,NOG21071,20,Actinopterygii
ENSP00000284523,KOG3913,29,Ctenophora
ENSP00000284878,NOG03235,22,Cephalochordata
ENSP00000284981,KOG4295,30,Choanoflagellata
ENSP00000285018,KOG3913,29,Ctenophora
ENSP00000285735,COG1100,37,Metamonada
ENSP00000286201,KOG3577,29,Ctenophora
ENSP00000286301,KOG0200,30,Choanoflagellata
ENSP00000286760,NOG232978,23,Ambulacraria
ENSP00000286827,KOG3519,32,Amoebozoa
ENSP00000287139,KOG3900,29,Ctenophora
ENSP00000287820,KOG3575,29,Ctenophora
ENSP00000292408,KOG0200,30,Choanoflagellata
ENSP00000293373,KOG1917,30,Choanoflagellata
ENSP00000293379,KOG3637,30,Choanoflagellata
ENSP00000293549,KOG3913,29,Ctenophora
ENSP00000294489,NOG03138,17,Sauropsida
ENSP00000294728,NOG258565,20,Actinopterygii
ENSP00000295522,NOG11150,20,Actinopterygii
ENSP00000296181,KOG1226,30,Choanoflagellata
ENSP00000296350,NOG04602,28,Porifera
ENSP00000296387,NOG03763,21,Tunicata
ENSP00000296585,KOG3637,30,Choanoflagellata
ENSP00000296677,NOG02267,20,Actinopterygii
ENSP00000297268,KOG3544,34,Discoba
ENSP00000298552,NOG246585,29,Ctenophora
ENSP00000299106,NOG05828,15,Metatheria
ENSP00000300404,NOG05445,23,Ambulacraria
ENSP00000300574,KOG4792,30,Choanoflagellata
ENSP00000301272,NOG250334,15,Metatheria
ENSP00000301945,NOG04090,23,Ambulacraria
ENSP00000302599,KOG2619,34,Discoba
ENSP00000302621,COG4886,37,Metamonada
ENSP00000302625,KOG3589,32,Amoebozoa
ENSP00000302846,KOG3656,30,Choanoflagellata
ENSP00000303231,NOG33393,17,Sauropsida
ENSP00000303507,KOG4269,32,Amoebozoa
ENSP00000304283,COG1100,37,Metamonada
ENSP00000304408,KOG3544,34,Discoba
ENSP00000305529,NOG22260,20,Actinopterygii
ENSP00000305603,KOG2619,34,Discoba
ENSP00000305988,NOG12680,20,Actinopterygii
ENSP00000306099,KOG2579,24,Ecdysozoa
ENSP00000306864,COG4886,37,Metamonada
ENSP00000308576,COG1100,37,Metamonada
ENSP00000308753,KOG3735,30,Choanoflagellata
ENSP00000308938,COG5640,30,Choanoflagellata
ENSP00000309591,KOG0616,37,Metamonada
ENSP00000309953,KOG1217,37,Metamonada
ENSP00000309968,KOG3658,30,Choanoflagellata
ENSP00000310094,KOG0577,30,Choanoflagellata
ENSP00000310448,KOG2217,33,Viridiplantae
ENSP00000311005,KOG0660,37,Metamonada
ENSP00000312002,NOG26156,20,Actinopterygii
ENSP00000312021,NOG24221,19,Coelacanthimorpha
ENSP00000312652,NOG28618,19,Coelacanthimorpha
ENSP00000313169,NOG06300,28,Porifera
ENSP00000313391,KOG3535,29,Ctenophora
ENSP00000313875,NOG257694,14,Afrotheria
ENSP00000314067,KOG0578,37,Metamonada
ENSP00000315477,KOG4297,30,Choanoflagellata
ENSP00000315997,NOG15898,18,Amphibia
ENSP00000316338,NOG06845,22,Cephalochordata
ENSP00000317891,NOG246177,23,Ambulacraria
ENSP00000317985,COG0515,37,Metamonada
ENSP00000318142,KOG2619,34,Discoba
ENSP00000320147,COG2940,37,Metamonada
ENSP00000320866,KOG0674,34,Discoba
ENSP00000321326,NOG258820,20,Actinopterygii
ENSP00000323264,KOG4796,28,Porifera
ENSP00000323280,NOG259005,20,Actinopterygii
ENSP00000323856,COG5069,36,SAR
ENSP00000324806,COG0515,37,Metamonada
ENSP00000324890,NOG18533,20,Actinopterygii
ENSP00000325527,KOG1217,37,Metamonada
ENSP00000326031,COG0639,37,Metamonada
ENSP00000327290,KOG3637,30,Choanoflagellata
ENSP00000327801,COG0526,37,Metamonada
ENSP00000328777,KOG3858,24,Ecdysozoa
ENSP00000329127,KOG0694,32,Amoebozoa
ENSP00000329991,NOG61523,18,Amphibia
ENSP00000330382,NOG23958,20,Actinopterygii
ENSP00000331544,KOG1217,37,Metamonada
ENSP00000331678,KOG1048,30,Choanoflagellata
ENSP00000331736,KOG4297,30,Choanoflagellata
ENSP00000331746,NOG269657,20,Actinopterygii
ENSP00000331983,KOG4242,24,Ecdysozoa
ENSP00000332118,COG0515,37,Metamonada
ENSP00000332973,KOG3701,29,Ctenophora
ENSP00000334008,KOG3631,30,Choanoflagellata
ENSP00000334941,COG5599,37,Metamonada
ENSP00000335062,NOG246954,17,Sauropsida
ENSP00000335074,NOG253091,15,Metatheria
ENSP00000335320,NOG02018,20,Actinopterygii
ENSP00000336800,KOG4441,36,SAR
ENSP00000336829,KOG2579,24,Ecdysozoa
ENSP00000337451,COG0515,37,Metamonada
ENSP00000337907,COG0194,37,Metamonada
ENSP00000338171,NOG08024,23,Ambulacraria
ENSP00000338967,KOG2710,31,Fungi
ENSP00000339191,NOG06801,24,Ecdysozoa
ENSP00000339328,NOG24490,20,Actinopterygii
ENSP00000339467,COG1100,37,Metamonada
ENSP00000339730,NOG258312,29,Ctenophora
ENSP00000340330,COG5027,37,Metamonada
ENSP00000340864,NOG258688,22,Cephalochordata
ENSP00000341189,KOG4257,30,Choanoflagellata
ENSP00000341292,KOG0584,37,Metamonada
ENSP00000341551,KOG3701,29,Ctenophora
ENSP00000341785,COG1272,36,SAR
ENSP00000341905,KOG3508,32,Amoebozoa
ENSP00000342609,KOG2329,33,Viridiplantae
ENSP00000342858,KOG3727,29,Ctenophora
ENSP00000344666,KOG3529,30,Choanoflagellata
ENSP00000344967,NOG246478,26,Cnidaria
ENSP00000345008,KOG1217,37,Metamonada
ENSP00000345347,COG5648,36,SAR
ENSP00000345731,COG0194,37,Metamonada
ENSP00000346032,KOG0819,33,Viridiplantae
ENSP00000346300,KOG4792,30,Choanoflagellata
ENSP00000346483,KOG3054,34,Discoba
ENSP00000346839,NOG00382,23,Ambulacraria
ENSP00000346879,KOG0489,29,Ctenophora
ENSP00000347379,NOG230762,20,Actinopterygii
ENSP00000347427,KOG0587,30,Choanoflagellata
ENSP00000347948,NOG270091,14,Afrotheria
ENSP00000348461,COG1100,37,Metamonada
ENSP00000348635,NOG277541,20,Actinopterygii
ENSP00000349252,KOG3637,30,Choanoflagellata
ENSP00000349436,KOG3607,31,Fungi
ENSP00000350425,NOG03742,20,Actinopterygii
ENSP00000351209,COG0515,37,Metamonada
ENSP00000351602,KOG2619,34,Discoba
ENSP00000351905,COG0515,37,Metamonada
ENSP00000352138,KOG3510,30,Choanoflagellata
ENSP00000352420,NOG03212,22,Cephalochordata
ENSP00000352833,COG5599,37,Metamonada
ENSP00000353030,COG5599,37,Metamonada
ENSP00000353099,NOG15725,20,Actinopterygii
ENSP00000353259,NOG31937,20,Actinopterygii
ENSP00000353408,KOG3529,30,Choanoflagellata
ENSP00000353731,COG1506,37,Metamonada
ENSP00000353850,NOG03534,23,Ambulacraria
ENSP00000354040,COG1084,37,Metamonada
ENSP00000354416,NOG66960,17,Sauropsida
ENSP00000354532,COG0005,37,Metamonada
ENSP00000354558,COG5032,37,Metamonada
ENSP00000354566,NOG33424,20,Actinopterygii
ENSP00000355094,COG5176,36,SAR
ENSP00000355187,COG4886,37,Metamonada
ENSP00000355361,NOG16609,17,Sauropsida
ENSP00000355627,COG4826,28,Porifera
ENSP00000355866,COG2453,37,Metamonada
ENSP00000355896,KOG3900,29,Ctenophora
ENSP00000356016,KOG4297,30,Choanoflagellata
ENSP00000356319,COG5059,37,Metamonada
ENSP00000356515,COG5069,36,SAR
ENSP00000356574,KOG1731,28,Porifera
ENSP00000356792,NOG30968,17,Sauropsida
ENSP00000357005,NOG10006,20,Actinopterygii
ENSP00000357288,KOG4107,30,Choanoflagellata
ENSP00000357392,KOG3858,24,Ecdysozoa
ENSP00000357564,KOG0078,37,Metamonada
ENSP00000357727,NOG271637,17,Sauropsida
ENSP00000357801,NOG30694,20,Actinopterygii
ENSP00000357883,COG5253,37,Metamonada
ENSP00000357981,COG4870,37,Metamonada
ENSP00000358283,KOG2235,36,SAR
ENSP00000358310,KOG3637,30,Choanoflagellata
ENSP00000358723,COG1100,37,Metamonada
ENSP00000358770,KOG0579,30,Choanoflagellata
ENSP00000358866,COG5069,36,SAR
ENSP00000358997,COG0515,37,Metamonada
ENSP00000359077,KOG3513,29,Ctenophora
ENSP00000359085,KOG3512,28,Porifera
ENSP00000359385,NOG257948,23,Ambulacraria
ENSP00000359552,KOG0694,32,Amoebozoa
ENSP00000359663,KOG3656,30,Choanoflagellata
ENSP00000360170,KOG2579,24,Ecdysozoa
ENSP00000360296,COG0671,36,SAR
ENSP00000360305,KOG1703,36,SAR
ENSP00000360464,KOG2812,34,Discoba
ENSP00000360882,KOG3544,34,Discoba
ENSP00000361021,COG2453,37,Metamonada
ENSP00000361423,COG0515,37,Metamonada
ENSP00000361467,KOG3528,30,Choanoflagellata
ENSP00000361471,COG0137,36,SAR
ENSP00000361663,KOG3971,30,Choanoflagellata
ENSP00000361818,NOG22019,20,Actinopterygii
ENSP00000361850,COG5640,30,Choanoflagellata
ENSP00000361965,COG1816,36,SAR
ENSP00000362680,COG0515,37,Metamonada
ENSP00000362776,KOG3544,34,Discoba
ENSP00000363092,COG0664,37,Metamonada
ENSP00000363317,KOG3528,30,Choanoflagellata
ENSP00000363804,KOG1721,37,Metamonada
ENSP00000363840,KOG3544,34,Discoba
ENSP00000364000,KOG3544,34,Discoba
ENSP00000364163,KOG1217,37,Metamonada
ENSP00000364210,NOG58030,16,Prototheria
ENSP00000364683,NOG10082,20,Actinopterygii
ENSP00000365227,COG5126,37,Metamonada
ENSP00000365380,COG5025,36,SAR
ENSP00000365465,NOG57931,16,Prototheria
ENSP00000365569,COG2268,31,Fungi
ENSP00000365817,NOG266535,20,Actinopterygii
ENSP00000366109,KOG0819,33,Viridiplantae
ENSP00000366283,NOG259086,20,Actinopterygii
ENSP00000366288,NOG05335,20,Actinopterygii
ENSP00000367154,COG4886,37,Metamonada
ENSP00000367202,KOG3649,30,Choanoflagellata
ENSP00000367316,KOG3637,30,Choanoflagellata
ENSP00000367398,NOG239279,28,Porifera
ENSP00000367817,NOG23429,17,Sauropsida
ENSP00000368104,KOG3900,29,Ctenophora
ENSP00000368278,KOG3971,30,Choanoflagellata
ENSP00000368632,COG5641,35,Rhodophyta
ENSP00000368759,NOG01278,29,Ctenophora
ENSP00000369270,KOG1721,37,Metamonada
ENSP00000369375,KOG0200,30,Choanoflagellata
ENSP00000369554,NOG58109,14,Afrotheria
ENSP00000369581,NOG58417,17,Sauropsida
ENSP00000369677,NOG07743,20,Actinopterygii
ENSP00000369889,KOG3544,34,Discoba
ENSP00000370593,COG5599,37,Metamonada
ENSP00000370698,NOG10066,22,Cephalochordata
ENSP00000370989,NOG22308,20,Actinopterygii
ENSP00000371067,COG0515,37,Metamonada
ENSP00000371219,COG1100,37,Metamonada
ENSP00000371798,NOG257656,26,Cnidaria
ENSP00000371958,KOG3882,30,Choanoflagellata
ENSP00000372295,NOG07478,21,Tunicata
ENSP00000373574,COG0515,37,Metamonada
ENSP00000373783,NOG04524,26,Cnidaria
ENSP00000375086,NOG271296,20,Actinopterygii
ENSP00000375616,NOG15898,18,Amphibia
ENSP00000375629,NOG15898,18,Amphibia
ENSP00000376436,KOG3806,29,Ctenophora
ENSP00000376457,KOG3524,30,Choanoflagellata
ENSP00000376475,COG0664,37,Metamonada
ENSP00000377370,NOG07561,20,Actinopterygii
ENSP00000377508,COG0572,37,Metamonada
ENSP00000377941,COG5069,36,SAR
ENSP00000378332,KOG1703,36,SAR
ENSP00000378368,COG2268,31,Fungi
ENSP00000378409,NOG09317,20,Actinopterygii
ENSP00000378431,NOG258877,19,Coelacanthimorpha
ENSP00000378577,NOG03763,21,Tunicata
ENSP00000378786,NOG15005,20,Actinopterygii
ENSP00000378856,KOG3587,27,Placozoa
ENSP00000378957,KOG2579,24,Ecdysozoa
ENSP00000379140,NOG240233,20,Actinopterygii
ENSP00000379204,KOG3900,29,Ctenophora
ENSP00000379350,KOG1226,30,Choanoflagellata
ENSP00000379438,NOG04884,21,Tunicata
ENSP00000379616,COG5022,36,SAR
ENSP00000379873,NOG266535,20,Actinopterygii
ENSP00000379975,COG0666,37,Metamonada
ENSP00000380150,COG0194,37,Metamonada
ENSP00000380227,KOG3637,30,Choanoflagellata
ENSP00000380638,KOG4257,30,Choanoflagellata
ENSP00000380855,NOG22308,20,Actinopterygii
ENSP00000380948,KOG1226,30,Choanoflagellata
ENSP00000380958,NOG27225,20,Actinopterygii
ENSP00000381448,NOG272242,20,Actinopterygii
ENSP00000381775,NOG00756,23,Ambulacraria
ENSP00000381949,KOG3544,34,Discoba
ENSP00000382004,KOG1048,30,Choanoflagellata
ENSP00000382697,COG0515,37,Metamonada
ENSP00000383042,KOG0685,30,Choanoflagellata
ENSP00000383376,NOG10255,20,Actinopterygii
ENSP00000384262,NOG01637,23,Ambulacraria
ENSP00000384273,NOG04826,20,Actinopterygii
ENSP00000384371,KOG1721,37,Metamonada
ENSP00000385143,KOG1480,29,Ctenophora
ENSP00000385450,COG5021,37,Metamonada
ENSP00000385451,NOG14821,22,Cephalochordata
ENSP00000385477,NOG03763,21,Tunicata
ENSP00000385523,KOG3575,29,Ctenophora
ENSP00000385675,NOG240695,19,Coelacanthimorpha
ENSP00000386896,KOG3637,30,Choanoflagellata
ENSP00000389326,KOG3690,28,Porifera
ENSP00000389814,NOG04095,23,Ambulacraria
ENSP00000391490,NOG16413,20,Actinopterygii
ENSP00000391826,NOG11666,20,Actinopterygii
ENSP00000392500,COG2272,34,Discoba
ENSP00000393566,NOG15005,20,Actinopterygii
ENSP00000394496,COG1985,32,Amoebozoa
ENSP00000394888,KOG1997,34,Discoba
ENSP00000397459,COG2453,37,Metamonada
ENSP00000398632,NOG256826,20,Actinopterygii
ENSP00000398698,NOG26904,20,Actinopterygii
ENSP00000398803,COG0451,37,Metamonada
ENSP00000398890,NOG245543,18,Amphibia
ENSP00000400010,COG5599,37,Metamonada
ENSP00000400175,COG1100,37,Metamonada
ENSP00000400341,COG5025,36,SAR
ENSP00000402584,NOG07232,22,Cephalochordata
ENSP00000406037,COG5027,37,Metamonada
ENSP00000406191,KOG3676,28,Porifera
ENSP00000407685,KOG2579,24,Ecdysozoa
ENSP00000408146,NOG15725,20,Actinopterygii
ENSP00000408695,KOG0696,30,Choanoflagellata
ENSP00000409544,NOG03763,21,Tunicata
ENSP00000414303,NOG10822,23,Ambulacraria
ENSP00000416255,KOG0401,36,SAR
ENSP00000416523,KOG3611,30,Choanoflagellata
ENSP00000416696,KOG2006,35,Rhodophyta
ENSP00000417273,KOG4226,30,Choanoflagellata
ENSP00000417335,KOG4222,29,Ctenophora
ENSP00000417404,COG2036,37,Metamonada
ENSP00000418112,COG5599,37,Metamonada
ENSP00000418447,COG0639,37,Metamonada
ENSP00000418915,COG0666,37,Metamonada
ENSP00000419085,NOG59058,15,Metatheria
ENSP00000419446,KOG3607,31,Fungi
ENSP00000419465,COG5021,37,Metamonada
ENSP00000420091,NOG10229,20,Actinopterygii
ENSP00000420321,KOG4222,29,Ctenophora
ENSP00000422007,COG5069,36,SAR
ENSP00000422533,KOG3545,24,Ecdysozoa
ENSP00000424565,KOG3594,30,Choanoflagellata
ENSP00000427552,KOG1094,30,Choanoflagellata
ENSP00000427687,KOG0318,34,Discoba
ENSP00000430684,COG0515,37,Metamonada
ENSP00000431885,COG0515,37,Metamonada
ENSP00000431926,KOG0266,37,Metamonada
ENSP00000433623,KOG0297,36,SAR
ENSP00000434034,KOG3577,29,Ctenophora
ENSP00000436047,KOG2692,24,Ecdysozoa
ENSP00000442600,KOG3781,29,Ctenophora
ENSP00000442736,KOG3610,30,Choanoflagellata
ENSP00000447730,KOG3882,30,Choanoflagellata
ENSP00000451828,COG0515,37,Metamonada
ENSP00000452786,KOG1226,30,Choanoflagellata
ENSP00000452796,NOG235096,29,Ctenophora
ENSP00000454623,KOG3637,30,Choanoflagellata
ENSP00000457421,NOG29623,20,Actinopterygii
ENSP00000458162,COG5277,37,Metamonada
ENSP00000458585,KOG1565,30,Choanoflagellata
ENSP00000459615,KOG3565,32,Amoebozoa
ENSP00000463051,KOG3900,29,Ctenophora
ENSP00000463325,COG5599,37,Metamonada
ENSP00000463752,NOG07478,21,Tunicata
ENSP00000469049,NOG00756,23,Ambulacraria
ENSP00000469413,KOG0578,37,Metamonada
ENSP00000470788,NOG23480,17,Sauropsida
ENSP00000472474,COG1231,36,SAR
ENSP00000473001,KOG2398,33,Viridiplantae
ENSP00000474412,NOG271296,20,Actinopterygii
ENSP00000477725,COG0666,37,Metamonada
ENSP00000478290,KOG3565,32,Amoebozoa
ENSP00000479536,NOG255980,16,Prototheria
ENSP00000479860,COG5126,37,Metamonada
ENSP00000480359,KOG1703,36,SAR
ENSP00000482228,NOG04735,23,Ambulacraria
ENSP00000484552,NOG07478,21,Tunicata
